,CHAS,NOX,RM,DIS,PTRATIO,LSTAT,price
186,0.0,0.488,7.831,3.1992,17.8,4.45,50.0
187,0.0,0.437,6.782,3.7886,15.2,6.68,32.0
188,0.0,0.437,6.556,4.5667,15.2,4.56,29.8
189,0.0,0.437,7.185,4.5667,15.2,5.39,34.9
190,0.0,0.437,6.951,6.4798,15.2,5.1,37.0
191,0.0,0.437,6.739,6.4798,15.2,4.69,30.5
192,0.0,0.437,7.178,6.4798,15.2,2.87,36.4
193,0.0,0.401,6.8,6.2196,15.6,5.03,31.1
194,0.0,0.401,6.604,6.2196,15.6,4.38,29.1
195,0.0,0.422,7.875,5.6484,14.4,2.97,50.0
196,0.0,0.404,7.287,7.309,12.6,4.08,33.3
197,0.0,0.404,7.107,7.309,12.6,8.61,30.3
198,0.0,0.404,7.274,7.309,12.6,6.62,34.6
199,0.0,0.403,6.975,7.6534,17.0,4.56,34.9
200,0.0,0.403,7.135,7.6534,17.0,4.45,32.9
201,0.0,0.415,6.162,6.27,14.7,7.43,24.1
202,0.0,0.415,7.61,6.27,14.7,3.11,42.3
203,0.0,0.4161,7.853,5.118,14.7,3.81,48.5
204,0.0,0.4161,8.034,5.118,14.7,2.88,50.0
205,0.0,0.489,5.891,3.9454,18.6,10.87,22.6
206,0.0,0.489,6.326,4.3549,18.6,10.97,24.4
207,0.0,0.489,5.783,4.3549,18.6,18.06,22.5
208,1.0,0.489,6.064,4.2392,18.6,14.66,24.4
209,1.0,0.489,5.344,3.875,18.6,23.09,20.0
210,1.0,0.489,5.96,3.8771,18.6,17.27,21.7
211,1.0,0.489,5.404,3.665,18.6,23.98,19.3
212,1.0,0.489,5.807,3.6526,18.6,16.03,22.4
213,0.0,0.489,6.375,3.9454,18.6,9.38,28.1
214,0.0,0.489,5.412,3.5875,18.6,29.55,23.7
215,0.0,0.489,6.182,3.9454,18.6,9.47,25.0
216,1.0,0.55,5.888,3.1121,16.4,13.51,23.3
217,0.0,0.55,6.642,3.4211,16.4,9.69,28.7
218,1.0,0.55,5.951,2.8893,16.4,17.92,21.5
219,1.0,0.55,6.373,3.3633,16.4,10.5,23.0
220,1.0,0.507,6.951,2.8617,17.4,9.71,26.7
221,1.0,0.507,6.164,3.048,17.4,21.46,21.7
222,1.0,0.507,6.879,3.2721,17.4,9.93,27.5
223,0.0,0.507,6.618,3.2721,17.4,7.6,30.1
224,0.0,0.504,8.266,2.8944,17.4,4.14,44.8
225,0.0,0.504,8.725,2.8944,17.4,4.63,50.0
226,0.0,0.504,8.04,3.2157,17.4,3.13,37.6
227,0.0,0.504,7.163,3.2157,17.4,6.36,31.6
228,0.0,0.504,7.686,3.3751,17.4,3.92,46.7
229,0.0,0.504,6.552,3.3751,17.4,3.76,31.5
230,0.0,0.504,5.981,3.6715,17.4,11.65,24.3
231,0.0,0.504,7.412,3.6715,17.4,5.25,31.7
232,0.0,0.507,8.337,3.8384,17.4,2.47,41.7
233,0.0,0.507,8.247,3.6519,17.4,3.95,48.3
234,1.0,0.507,6.726,3.6519,17.4,8.05,29.0
235,0.0,0.507,6.086,3.6519,17.4,10.88,24.0
236,1.0,0.507,6.631,4.148,17.4,9.54,25.1
237,0.0,0.507,7.358,4.148,17.4,4.73,31.5
238,0.0,0.428,6.481,6.1899,16.6,6.36,23.7
239,0.0,0.428,6.606,6.1899,16.6,7.37,23.3
240,0.0,0.428,6.897,6.3361,16.6,11.38,22.0
241,0.0,0.428,6.095,6.3361,16.6,12.4,20.1
242,0.0,0.428,6.358,7.0355,16.6,11.22,22.2
243,0.0,0.428,6.393,7.0355,16.6,5.19,23.7
244,0.0,0.431,5.593,7.9549,19.1,12.5,17.6
245,0.0,0.431,5.605,7.9549,19.1,18.46,18.5
246,0.0,0.431,6.108,8.0555,19.1,9.16,24.3
247,0.0,0.431,6.226,8.0555,19.1,10.15,20.5
248,0.0,0.431,6.433,7.8265,19.1,9.52,24.5
249,0.0,0.431,6.718,7.8265,19.1,6.56,26.2
250,0.0,0.431,6.487,7.3967,19.1,5.9,24.4
251,0.0,0.431,6.438,7.3967,19.1,3.59,24.8
252,0.0,0.431,6.957,8.9067,19.1,3.53,29.6
253,0.0,0.431,8.259,8.9067,19.1,3.54,42.8
254,0.0,0.392,6.108,9.2203,16.4,6.57,21.9
255,0.0,0.392,5.876,9.2203,16.4,9.25,20.9
256,0.0,0.394,7.454,6.3361,15.9,3.11,44.0
257,0.0,0.647,8.704,1.801,13.0,5.12,50.0
258,0.0,0.647,7.333,1.8946,13.0,7.79,36.0
259,0.0,0.647,6.842,2.0107,13.0,6.9,30.1
260,0.0,0.647,7.203,2.1121,13.0,9.59,33.8
261,0.0,0.647,7.52,2.1398,13.0,7.26,43.1
262,0.0,0.647,8.398,2.2885,13.0,5.91,48.8
263,0.0,0.647,7.327,2.0788,13.0,11.25,31.0
264,0.0,0.647,7.206,1.9301,13.0,8.1,36.5
265,0.0,0.647,5.56,1.9865,13.0,10.45,22.8
266,0.0,0.647,7.014,2.1329,13.0,14.79,30.7
267,0.0,0.575,8.297,2.4216,13.0,7.44,50.0
268,0.0,0.575,7.47,2.872,13.0,3.16,43.5
269,1.0,0.464,5.92,3.9175,18.6,13.65,20.7
270,0.0,0.464,5.856,4.429,18.6,13.0,21.1
271,0.0,0.464,6.24,4.429,18.6,6.59,25.2
272,0.0,0.464,6.538,3.9175,18.6,7.73,24.4
273,1.0,0.464,7.691,4.3665,18.6,6.58,35.2
274,1.0,0.447,6.758,4.0776,17.6,3.53,32.4
275,0.0,0.447,6.854,4.2673,17.6,2.98,32.0
276,1.0,0.447,7.267,4.7872,17.6,6.05,33.2
277,1.0,0.447,6.826,4.8628,17.6,4.16,33.1
278,0.0,0.447,6.482,4.1403,17.6,7.19,29.1
279,0.0,0.4429,6.812,4.1007,14.9,4.85,35.1
280,0.0,0.4429,7.82,4.6947,14.9,3.76,45.4
281,0.0,0.4429,6.968,5.2447,14.9,4.59,35.4
282,1.0,0.4429,7.645,5.2119,14.9,3.01,46.0
283,1.0,0.401,7.923,5.885,13.6,3.16,50.0
284,0.0,0.4,7.088,7.3073,15.3,7.85,32.2
285,0.0,0.389,6.453,7.3073,15.3,8.23,22.0
286,0.0,0.385,6.23,9.0892,18.2,12.93,20.1
287,0.0,0.405,6.209,7.3172,16.6,7.14,23.2
288,0.0,0.405,6.315,7.3172,16.6,7.6,22.3
289,0.0,0.405,6.565,7.3172,16.6,9.51,24.8
290,0.0,0.411,6.861,5.1167,19.2,3.33,28.5
291,0.0,0.411,7.148,5.1167,19.2,3.56,37.3
292,0.0,0.411,6.63,5.1167,19.2,4.7,27.9
293,0.0,0.437,6.127,5.5027,16.0,8.58,23.9
294,0.0,0.437,6.009,5.5027,16.0,10.4,21.7
295,0.0,0.437,6.678,5.9604,16.0,6.27,28.6
296,0.0,0.437,6.549,5.9604,16.0,7.39,27.1
297,0.0,0.437,5.79,6.32,16.0,15.84,20.3
298,0.0,0.4,6.345,7.8278,14.8,4.97,22.5
299,0.0,0.4,7.041,7.8278,14.8,4.74,29.0
300,0.0,0.4,6.871,7.8278,14.8,6.07,24.8
301,0.0,0.433,6.59,5.4917,16.1,9.5,22.0
302,0.0,0.433,6.495,5.4917,16.1,8.67,26.4
303,0.0,0.433,6.982,5.4917,16.1,4.86,33.1
304,0.0,0.472,7.236,4.022,18.4,6.93,36.1
305,0.0,0.472,6.616,3.37,18.4,8.93,28.4
306,0.0,0.472,7.42,3.0992,18.4,6.47,33.4
307,0.0,0.472,6.849,3.1827,18.4,7.53,28.2
308,0.0,0.544,6.635,3.3175,18.4,4.54,22.8
309,0.0,0.544,5.972,3.1025,18.4,9.97,20.3
310,0.0,0.544,4.973,2.5194,18.4,12.64,16.1
311,0.0,0.544,6.122,2.6403,18.4,5.98,22.1
312,0.0,0.544,6.023,2.834,18.4,11.72,19.4
313,0.0,0.544,6.266,3.2628,18.4,7.9,21.6
314,0.0,0.544,6.567,3.6023,18.4,9.28,23.8
315,0.0,0.544,5.705,3.945,18.4,11.5,16.2
316,0.0,0.544,5.914,3.9986,18.4,18.33,17.8
317,0.0,0.544,5.782,4.0317,18.4,15.94,19.8
318,0.0,0.544,6.382,3.5325,18.4,10.36,23.1
319,0.0,0.544,6.113,4.0019,18.4,12.73,21.0
320,0.0,0.493,6.426,4.5404,19.6,7.2,23.8
321,0.0,0.493,6.376,4.5404,19.6,6.87,23.1
322,0.0,0.493,6.041,4.7211,19.6,7.7,20.4
323,0.0,0.493,5.708,4.7211,19.6,11.74,18.5
324,0.0,0.493,6.415,4.7211,19.6,6.12,25.0
325,0.0,0.493,6.431,5.4159,19.6,5.08,24.6
326,0.0,0.493,6.312,5.4159,19.6,6.15,23.0
327,0.0,0.493,6.083,5.4159,19.6,12.79,22.2
328,0.0,0.46,5.868,5.2146,16.9,9.97,19.3
329,0.0,0.46,6.333,5.2146,16.9,7.34,22.6
330,0.0,0.46,6.144,5.8736,16.9,9.09,19.8
331,0.0,0.4379,5.706,6.6407,16.9,12.43,17.1
332,0.0,0.4379,6.031,6.6407,16.9,7.83,19.4
333,0.0,0.515,6.316,6.4584,20.2,5.68,22.2
334,0.0,0.515,6.31,6.4584,20.2,6.75,20.7
335,0.0,0.515,6.037,5.9853,20.2,8.01,21.1
336,0.0,0.515,5.869,5.2311,20.2,9.8,19.5
337,0.0,0.515,5.895,5.615,20.2,10.56,18.5
338,0.0,0.515,6.059,4.8122,20.2,8.51,20.6
339,0.0,0.515,5.985,4.8122,20.2,9.74,19.0
340,0.0,0.515,5.968,4.8122,20.2,9.29,18.7
341,0.0,0.442,7.241,7.0379,15.5,5.49,32.7
342,0.0,0.518,6.54,6.2669,15.9,8.65,16.5
343,0.0,0.484,6.696,5.7321,17.6,7.18,23.9
344,0.0,0.484,6.874,6.4654,17.6,4.61,31.2
345,0.0,0.442,6.014,8.0136,18.8,10.53,17.5
346,0.0,0.442,5.898,8.0136,18.8,12.67,17.2
347,0.0,0.429,6.516,8.5353,17.9,6.36,23.1
348,0.0,0.435,6.635,8.344,17.0,5.99,24.5
349,0.0,0.429,6.939,8.7921,19.7,5.89,26.6
350,0.0,0.429,6.49,8.7921,19.7,5.98,22.9
351,0.0,0.411,6.579,10.7103,18.3,5.49,24.1
352,0.0,0.411,5.884,10.7103,18.3,7.79,18.6
353,0.0,0.41,6.728,12.1265,17.0,4.5,30.1
354,0.0,0.413,5.663,10.5857,22.0,8.05,18.2
355,0.0,0.413,5.936,10.5857,22.0,5.57,20.6
356,1.0,0.77,6.212,2.1222,20.2,17.6,17.8
357,1.0,0.77,6.395,2.5052,20.2,13.27,21.7
358,1.0,0.77,6.127,2.7227,20.2,11.48,22.7
359,0.0,0.77,6.112,2.5091,20.2,12.67,22.6
360,0.0,0.77,6.398,2.5182,20.2,7.79,25.0
361,0.0,0.77,6.251,2.2955,20.2,14.19,19.9
362,0.0,0.77,5.362,2.1036,20.2,10.19,20.8
363,1.0,0.77,5.803,1.9047,20.2,14.64,16.8
364,1.0,0.718,8.78,1.9047,20.2,5.29,21.9
365,0.0,0.718,3.561,1.6132,20.2,7.12,27.5
366,0.0,0.718,4.963,1.7523,20.2,14.0,21.9
367,0.0,0.631,3.863,1.5106,20.2,13.33,23.1
368,0.0,0.631,4.97,1.3325,20.2,3.26,50.0
369,1.0,0.631,6.683,1.3567,20.2,3.73,50.0
370,1.0,0.631,7.016,1.2024,20.2,2.96,50.0
371,0.0,0.631,6.216,1.1691,20.2,9.53,50.0
372,1.0,0.668,5.875,1.1296,20.2,8.88,50.0
373,0.0,0.668,4.906,1.1742,20.2,34.77,13.8
374,0.0,0.668,4.138,1.137,20.2,37.97,13.8
375,0.0,0.671,7.313,1.3163,20.2,13.44,15.0
376,0.0,0.671,6.649,1.3449,20.2,23.24,13.9
377,0.0,0.671,6.794,1.358,20.2,21.24,13.3
378,0.0,0.671,6.38,1.3861,20.2,23.69,13.1
379,0.0,0.671,6.223,1.3861,20.2,21.78,10.2
380,0.0,0.671,6.968,1.4165,20.2,17.21,10.4
381,0.0,0.671,6.545,1.5192,20.2,21.08,10.9
382,0.0,0.7,5.536,1.5804,20.2,23.6,11.3
383,0.0,0.7,5.52,1.5331,20.2,24.56,12.3
384,0.0,0.7,4.368,1.4395,20.2,30.63,8.8
385,0.0,0.7,5.277,1.4261,20.2,30.81,7.2
386,0.0,0.7,4.652,1.4672,20.2,28.28,10.5
387,0.0,0.7,5.0,1.5184,20.2,31.99,7.4
388,0.0,0.7,4.88,1.5895,20.2,30.62,10.2
389,0.0,0.7,5.39,1.7281,20.2,20.85,11.5
390,0.0,0.7,5.713,1.9265,20.2,17.11,15.1
391,0.0,0.7,6.051,2.1678,20.2,18.76,23.2
392,0.0,0.7,5.036,1.77,20.2,25.68,9.7
393,0.0,0.693,6.193,1.7912,20.2,15.17,13.8
394,0.0,0.693,5.887,1.7821,20.2,16.35,12.7
395,0.0,0.693,6.471,1.7257,20.2,17.12,13.1
396,0.0,0.693,6.405,1.6768,20.2,19.37,12.5
397,0.0,0.693,5.747,1.6334,20.2,19.92,8.5
398,0.0,0.693,5.453,1.4896,20.2,30.59,5.0
399,0.0,0.693,5.852,1.5004,20.2,29.97,6.3
400,0.0,0.693,5.987,1.5888,20.2,26.77,5.6
401,0.0,0.693,6.343,1.5741,20.2,20.32,7.2
402,0.0,0.693,6.404,1.639,20.2,20.31,12.1
403,0.0,0.693,5.349,1.7028,20.2,19.77,8.3
404,0.0,0.693,5.531,1.6074,20.2,27.38,8.5
405,0.0,0.693,5.683,1.4254,20.2,22.98,5.0
406,0.0,0.659,4.138,1.1781,20.2,23.34,11.9
407,0.0,0.659,5.608,1.2852,20.2,12.13,27.9
408,0.0,0.597,5.617,1.4547,20.2,26.4,17.2
409,0.0,0.597,6.852,1.4655,20.2,19.78,27.5
410,0.0,0.597,5.757,1.413,20.2,10.11,15.0
411,0.0,0.597,6.657,1.5275,20.2,21.22,17.2
412,0.0,0.597,4.628,1.5539,20.2,34.37,17.9
413,0.0,0.597,5.155,1.5894,20.2,20.08,16.3
414,0.0,0.693,4.519,1.6582,20.2,36.98,7.0
415,0.0,0.679,6.434,1.8347,20.2,29.05,7.2
416,0.0,0.679,6.782,1.8195,20.2,25.79,7.5
417,0.0,0.679,5.304,1.6475,20.2,26.64,10.4
418,0.0,0.679,5.957,1.8026,20.2,20.62,8.8
419,0.0,0.718,6.824,1.794,20.2,22.74,8.4
420,0.0,0.718,6.411,1.8589,20.2,15.02,16.7
421,0.0,0.718,6.006,1.8746,20.2,15.7,14.2
422,0.0,0.614,5.648,1.9512,20.2,14.1,20.8
423,0.0,0.614,6.103,2.0218,20.2,23.29,13.4
424,0.0,0.584,5.565,2.0635,20.2,17.16,11.7
425,0.0,0.679,5.896,1.9096,20.2,24.39,8.3
426,0.0,0.584,5.837,1.9976,20.2,15.69,10.2
427,0.0,0.679,6.202,1.8629,20.2,14.52,10.9
428,0.0,0.679,6.193,1.9356,20.2,21.52,11.0
429,0.0,0.679,6.38,1.9682,20.2,24.08,9.5
430,0.0,0.584,6.348,2.0527,20.2,17.64,14.5
431,0.0,0.584,6.833,2.0882,20.2,19.69,14.1
432,0.0,0.584,6.425,2.2004,20.2,12.03,16.1
433,0.0,0.713,6.436,2.3158,20.2,16.22,14.3
434,0.0,0.713,6.208,2.2222,20.2,15.17,11.7
435,0.0,0.74,6.629,2.1247,20.2,23.27,13.4
436,0.0,0.74,6.461,2.0026,20.2,18.05,9.6
437,0.0,0.74,6.152,1.9142,20.2,26.45,8.7
438,0.0,0.74,5.935,1.8206,20.2,34.02,8.4
439,0.0,0.74,5.627,1.8172,20.2,22.88,12.8
440,0.0,0.74,5.818,1.8662,20.2,22.11,10.5
441,0.0,0.74,6.406,2.0651,20.2,19.52,17.1
442,0.0,0.74,6.219,2.0048,20.2,16.59,18.4
443,0.0,0.74,6.485,1.9784,20.2,18.85,15.4
444,0.0,0.74,5.854,1.8956,20.2,23.79,10.8
445,0.0,0.74,6.459,1.9879,20.2,23.98,11.8
446,0.0,0.74,6.341,2.072,20.2,17.79,14.9
447,0.0,0.74,6.251,2.198,20.2,16.44,12.6
448,0.0,0.713,6.185,2.2616,20.2,18.13,14.1
449,0.0,0.713,6.417,2.185,20.2,19.31,13.0
450,0.0,0.713,6.749,2.3236,20.2,17.44,13.4
